id,text,isAd,isMuted,webVideoUrl,diggCount,shareCount,playCount,collectCount,commentCount,isSlideshow,isPinned,isSponsored,input,year,month,day,hour,minute,second
7237197115972128026,𝔹𝕖𝕒𝕦𝕥𝕚𝕗𝕦𝕝 𝔹𝕝𝕦𝕖💙 What are your thoughts? 💭 #beautifulblue  #blue  #buttercream  #buttercreamlessons  #buttercreamdream  #hydrangea  #edibleart  #floral  #floralpiping  #cupcakeinspo  #cupcakeartist  #cakelove  #cakedesign  #cakeworld  #handpiped  #cupcakegoals #cupcakeslovers,False,False,https://www.tiktok.com/@kerrysbouqcakes/video/7237197115972128026,173800,7256,3000000,15700,313,False,False,False,cupcakeslovers,2023,05,25,14,01,09
7312228214103903520,𝕎𝕙𝕒𝕥'𝕤 𝕪𝕠𝕦𝕣 𝕗𝕒𝕧𝕠𝕦𝕣𝕚𝕥𝕖 𝕥𝕙𝕚𝕟𝕘 𝕒𝕓𝕠𝕦𝕥 ℂ𝕙𝕣𝕚𝕤𝕥𝕞𝕒𝕤? 🎄 Not long to go now!  It's certainly one of my favourite seasons 🧑🏻‍🎄 #buttercream  #floralcupcakes  #floralpiping  #cupcakeinspo  #cupcakeslovers  #christmasgift  #christmasfood  #seasonal  #festive  #christmas #edibleart  #christmastree  #floral  #cakeworld  #cakelove ,False,False,https://www.tiktok.com/@kerrysbouqcakes/video/7312228214103903520,17600,2263,486900,2296,863,False,False,False,cupcakeslovers,2023,12,13,18,40,11
7033841087869504774,#cupxakes  #proceso #cremaverde 💚,False,False,https://www.tiktok.com/@cupcakesloversv/video/7033841087869504774,10,0,173,0,0,False,False,False,cupcakeslovers,2021,11,23,13,55,49
7425804975353171246,It's my bday... 🎉🎉🎉@CEO of Konfidinz thanks for the cupcakes🥰🥰🥰They taste so good #cupcakelovers #sweets #bdaygirl😍🎂 #bdayqueen🙄💅 #vibing🤟♥️,False,False,https://www.tiktok.com/@brebre0029/video/7425804975353171246,7,1,92,0,3,False,False,False,cupcakeslovers,2024,10,14,20,15,57
6853215951266090245,#pastelespersonalizados  #parati #cupcakeslover 💖,False,False,https://www.tiktok.com/@cupcakesloversv/video/6853215951266090245,257,2,2137,1,0,False,False,False,cupcakeslovers,2020,07,24,19,58,04
7380097347491106094,Happy National cupcake lovers day ❤️🧁 #redvelvet #cupcake #waxmelts ,False,False,https://www.tiktok.com/@irresistiblewax/video/7380097347491106094,683,17,13000,31,21,False,False,False,cupcakeslovers,2024,06,13,16,07,01
7229449335971286299,"𝔹𝕦𝕥𝕥𝕖𝕣𝕔𝕣𝕖𝕒𝕞 𝔻𝕣𝕖𝕒𝕞𝕤 🧡 Each of my cupcakes are individually hand piped using my own buttercream recipe 🧁 if you'd like to learn how to do this for yourself, please head over to kerrysbouqcakes.co.uk and browse my online tutorials 😁 #buttercreamdream  #buttercream  #buttercreamlessons  #edibleart  #onlinetutorials  #onlinelearning  #onlinelessons  #cupcakeinspo  #cupcakeartist  #cupcakeslovers  #cupcakebusiness  #cakelove  #cakedecorator  #cakeworld  #floral  #floralcupcakes  #floralpiping ",False,False,https://www.tiktok.com/@kerrysbouqcakes/video/7229449335971286299,649000,48600,5700000,64100,2090,False,False,False,cupcakeslovers,2023,05,04,16,56,03
7337085879279717664,ℂ𝕦𝕡𝕔𝕒𝕜𝕖 𝕃𝕠𝕧𝕖 💛 I'm SO lucky to call this my job 😍 forever grateful!  #cupcakeinspo  #cupcakeartist  #cupcakebusiness  #cupcakeslovers  #pipingskills  #buttercream  #businesswoman  #sweet  #cakeart  #cakedecorator  #cakelove  #flowers  #edibleart ,False,False,https://www.tiktok.com/@kerrysbouqcakes/video/7337085879279717664,3767,267,84000,639,57,False,False,False,cupcakeslovers,2024,02,18,18,20,41
7271608251689504002,💖💓💖💕💓💖  #kmcakcreation #cupcakedecorating #cupcakedising #cupcake #foryou #roseflower #hotpinkrose #hotpink #💖💖💖💖💖💖💖 #cupcakelover #cupcakelovers #cupcakelovers🧁🧁 ,False,False,https://www.tiktok.com/@km_cake_creation/video/7271608251689504002,4561,172,114900,633,19,False,False,False,cupcakeslovers,2023,08,26,07,33,54
7424309388522868011,"🍏🧁 These Spiced Apple Pie Filling Cupcakes with Cream Cheese Frosting are the ultimate fall treat! 🍂✨ Think warm apple pie flavors in every bite, topped with the creamiest frosting that tastes like a cozy hug. Perfect for crisp autumn days, Halloween parties, or just because… Who else is diving into all things apple this season? 🍁 Swipe for the ooey-gooey apple goodness ➡️ and save this for your next baking day! 🎃👩‍🍳 Tag a friend who loves all things apple! 🍎👇 #ApplePieCupcakes #FallBaking #CupcakeLovers #BakingFromScratch #FallDesserts #HomemadeTreats #AppleSeason #ComfortFood #DessertInspo #CreamCheeseFrosting #SweetTooth #BakingCommunity #Yummy #Foodie #ViralRecipes #FallFood #PumpkinAndApple #EasyRecipes #BakingIdeas #BakingTherapy #MomLife #HomeBaker #FallVibes #CozyEats #TreatYourself",False,False,https://www.tiktok.com/@inthekitchenwithmomma/video/7424309388522868011,18,1,305,9,2,False,False,False,cupcakeslovers,2024,10,10,19,32,17
