height,width,duration,coverUrl,originalCoverUrl,definition,format,subtitleLinks
1024,576,10,https://p16-sign-useast2a.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ocYELxfbhEzlfABAAyaQNMhJkvITR7vDPJH7sB?lk3s=b59d6b55&x-expires=1729166400&x-signature=8xHLH3%2F1GLIARBoYAZhPUN85zyo%3D&shp=b59d6b55&shcp=-,https://p16-sign-useast2a.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ocYELxfbhEzlfABAAyaQNMhJkvITR7vDPJH7sB?lk3s=b59d6b55&x-expires=1729166400&x-signature=8xHLH3%2F1GLIARBoYAZhPUN85zyo%3D&shp=b59d6b55&shcp=-,540p,mp4,
1024,576,49,https://p16-sign-useast2a.tiktokcdn.com/obj/tos-useast2a-p-0037-euttp/fb9e4f3b679d46ddac8105a69dcca77b_1702510816?lk3s=b59d6b55&x-expires=1729166400&x-signature=3KmsaC8UiYPVrKFubKrKJYJyTU4%3D&shp=b59d6b55&shcp=-,https://p16-sign-useast2a.tiktokcdn.com/obj/tos-useast2a-p-0037-euttp/fb9e4f3b679d46ddac8105a69dcca77b_1702510816?lk3s=b59d6b55&x-expires=1729166400&x-signature=3KmsaC8UiYPVrKFubKrKJYJyTU4%3D&shp=b59d6b55&shcp=-,540p,mp4,
1024,576,8,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0df52b0bba8b419eaa63b17ef2425919?lk3s=b59d6b55&x-expires=1729166400&x-signature=lokaJm%2FST0Yliq%2Fz9Tb34ojNu3c%3D&shp=b59d6b55&shcp=-,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0df52b0bba8b419eaa63b17ef2425919?lk3s=b59d6b55&x-expires=1729166400&x-signature=lokaJm%2FST0Yliq%2Fz9Tb34ojNu3c%3D&shp=b59d6b55&shcp=-,540p,mp4,
1024,576,29,https://p16-pu-sign-useast8.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/o4CDiOEwp7AiQiuwsxIx1hfxJBBqBAMIxAkzUN?lk3s=b59d6b55&x-expires=1729166400&x-signature=oEWqGQnRtniRMgR14EHmBy9LJhk%3D&shp=b59d6b55&shcp=-,https://p16-pu-sign-useast8.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/o4CDiOEwp7AiQiuwsxIx1hfxJBBqBAMIxAkzUN?lk3s=b59d6b55&x-expires=1729166400&x-signature=oEWqGQnRtniRMgR14EHmBy9LJhk%3D&shp=b59d6b55&shcp=-,540p,mp4,
1024,576,15,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/cfa3e4c4bb4a46a08f2d86cf21cda9ae?lk3s=b59d6b55&x-expires=1729166400&x-signature=xaNV10uqRzdeFCaS5iLWFOc572Q%3D&shp=b59d6b55&shcp=-,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/cfa3e4c4bb4a46a08f2d86cf21cda9ae?lk3s=b59d6b55&x-expires=1729166400&x-signature=xaNV10uqRzdeFCaS5iLWFOc572Q%3D&shp=b59d6b55&shcp=-,540p,mp4,
1024,576,14,https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-p-0068-tx/bd0e3e81bede43128da62307941c6c55_1718312823~tplv-dmt-logom:tos-useast5-i-0068-tx/okfRIE9mQj0eDApWhnCiQkvvgAFuDmA1aZDSAE.image?lk3s=b59d6b55&x-expires=1729166400&x-signature=FZXTK%2BXeEO7sHejFkuSjB%2Bb%2BLHc%3D&shp=b59d6b55&shcp=-,https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-p-0068-tx/bd0e3e81bede43128da62307941c6c55_1718312823~tplv-dmt-logom:tos-useast5-i-0068-tx/okfRIE9mQj0eDApWhnCiQkvvgAFuDmA1aZDSAE.image?lk3s=b59d6b55&x-expires=1729166400&x-signature=FZXTK%2BXeEO7sHejFkuSjB%2Bb%2BLHc%3D&shp=b59d6b55&shcp=-,540p,mp4,
1024,576,21,https://p16-sign-useast2a.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEiDbUsfIWeEPOVBAoInbDcRnGA8ByCQ10GkQs?lk3s=b59d6b55&x-expires=1729166400&x-signature=hr0MGT8OQ9Kl9KsrxnYHbhwO22g%3D&shp=b59d6b55&shcp=-,https://p16-sign-useast2a.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oEiDbUsfIWeEPOVBAoInbDcRnGA8ByCQ10GkQs?lk3s=b59d6b55&x-expires=1729166400&x-signature=hr0MGT8OQ9Kl9KsrxnYHbhwO22g%3D&shp=b59d6b55&shcp=-,540p,mp4,
1024,576,32,https://p16-sign-useast2a.tiktokcdn.com/obj/tos-useast2a-p-0037-euttp/oE4pMEQyYEZge0jlABBSIkESfBEnpBDPpDhR0F?lk3s=b59d6b55&x-expires=1729166400&x-signature=QkmY0hiycWQkqJvw3RrNP8N%2FpsM%3D&shp=b59d6b55&shcp=-,https://p16-sign-useast2a.tiktokcdn.com/obj/tos-useast2a-p-0037-euttp/oE4pMEQyYEZge0jlABBSIkESfBEnpBDPpDhR0F?lk3s=b59d6b55&x-expires=1729166400&x-signature=QkmY0hiycWQkqJvw3RrNP8N%2FpsM%3D&shp=b59d6b55&shcp=-,540p,mp4,
1024,576,28,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/ocIfpJoIACfssAjHHKQAXeDDB8nyi0BHsbszTg?lk3s=b59d6b55&x-expires=1729166400&x-signature=9JtN5LKkMv8YHfv6DIT9htqrldE%3D&shp=b59d6b55&shcp=-,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/ocIfpJoIACfssAjHHKQAXeDDB8nyi0BHsbszTg?lk3s=b59d6b55&x-expires=1729166400&x-signature=9JtN5LKkMv8YHfv6DIT9htqrldE%3D&shp=b59d6b55&shcp=-,540p,mp4,
1024,576,32,https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-p-0068-tx/50401f7104c14e6285d7e66825f460c8_1728606739~tplv-dmt-logom:tos-useast5-i-0068-tx/ocZABDwAhVB7ihLEAyIYUg0GEQcIAPi4tkcEA.image?lk3s=b59d6b55&x-expires=1729166400&x-signature=hoFKJyVT9qVgpMavftXSCnz3Uok%3D&shp=b59d6b55&shcp=-,https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-p-0068-tx/50401f7104c14e6285d7e66825f460c8_1728606739~tplv-dmt-logom:tos-useast5-i-0068-tx/ocZABDwAhVB7ihLEAyIYUg0GEQcIAPi4tkcEA.image?lk3s=b59d6b55&x-expires=1729166400&x-signature=hoFKJyVT9qVgpMavftXSCnz3Uok%3D&shp=b59d6b55&shcp=-,540p,mp4,
